session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
781,2,5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
605,2,7,0.0,0.0,0.2,0.14285714285714285,0.6,0.42857142857142855,0.2,0.14285714285714285
577,2,8,0.2,0.125,0.2,0.125,0.4,0.25,0.4,0.25
568,2,7,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285,0.4,0.2857142857142857
476,2,3,0.0,0.0,0.2,0.3333333333333333,0.2,0.3333333333333333,0.2,0.3333333333333333
203,2,13,0.2,0.07692307692307693,0.2,0.07692307692307693,0.0,0.0,0.2,0.07692307692307693
41,2,12,0.2,0.08333333333333333,0.6,0.25,0.6,0.25,0.6,0.25
468,2,4,0.4,0.5,0.2,0.25,0.0,0.0,0.4,0.5
394,2,4,0.0,0.0,0.4,0.5,0.4,0.5,0.2,0.25
68,2,6,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
273,2,2,0.2,0.5,0.0,0.0,0.2,0.5,0.2,0.5
281,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,2,2,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.5
55,2,8,0.2,0.125,0.0,0.0,0.2,0.125,0.2,0.125
938,2,7,0.2,0.14285714285714285,0.4,0.2857142857142857,0.2,0.14285714285714285,0.0,0.0
42,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807,2,4,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
516,2,7,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285
1156,2,6,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.0
604,2,5,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.2
270,2,4,0.2,0.25,0.0,0.0,0.4,0.5,0.4,0.5
1005,2,3,0.2,0.3333333333333333,0.2,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0
387,2,3,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0
135,2,4,0.4,0.5,0.4,0.5,0.0,0.0,0.2,0.25
851,2,6,0.4,0.3333333333333333,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666
157,2,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.2,0.1111111111111111,0.2,0.1111111111111111
724,2,7,0.2,0.14285714285714285,0.2,0.14285714285714285,0.4,0.2857142857142857,0.4,0.2857142857142857
668,2,4,0.0,0.0,0.2,0.25,0.4,0.5,0.2,0.25
184,2,4,0.0,0.0,0.0,0.0,0.4,0.5,0.4,0.5
363,2,8,0.4,0.25,0.4,0.25,0.4,0.25,0.4,0.25
511,2,4,0.2,0.25,0.2,0.25,0.0,0.0,0.0,0.0
498,2,9,0.4,0.2222222222222222,0.4,0.2222222222222222,0.2,0.1111111111111111,0.2,0.1111111111111111
96,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992,2,8,0.4,0.25,0.6,0.375,0.2,0.125,0.0,0.0
578,2,3,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
64,2,8,0.2,0.125,0.2,0.125,0.2,0.125,0.0,0.0
